episode_id,error,instruction,replanning_count_0,run_id,runtime,sim_step_count,task_percent_complete,task_state_success
1250,False,"Move the toy airplane from the bedroom to the living room table. Place it next to the couch. The toy airplane is red, part of the Air Hogs Wind Flyers Set. It's a gift from my childhood friend.",10.0,0,91.28712677955627,1575.0,1.0,1.0
1144,False,"Help me prepare the laundry room for a cleaning session. First, move the vase from the washer dryer to the closet table. Then, take the stuffed toy and basket and place them next to each other on the chest of drawers. I always set up the laundry room this way before starting a cleaning session.",21.0,0,115.90121936798096,1590.0,0.25,0.0
1032,False,Put the shoe and pencil case on the bedroom chest of drawers. I prefer to keep my shoe and pencil case on the chest of drawers for quick access when I'm getting ready in the morning.,15.0,0,147.55552768707275,3358.0,1.0,1.0
1035,False,"Help me move some toys and a bowl from the dining room to the living room. Take the toy airplane, toy animal, and bowl from the table in the dining room. Place them next to each other on the table in the living room. I enjoy having these toys and the bowl set up together in the living room for playtime with my child.",26.0,0,104.56060314178467,1452.0,1.0,1.0
1249,False,"Move the statue and picture frame from the table in the living room to the shelves in the bedroom. Place them next to each other on the shelves. The statue is beige on a black base, and the picture frame is silver with an ornate border. The statue is a keepsake from my travels.",41.0,0,173.53045225143433,1781.0,0.0,0.0
1143,False,Move the candle holder and vase from the living room table to the office cabinet. Place them next to each other on the cabinet. I prefer to keep the candle holder and vase together on the office cabinet for a calming atmosphere while I work.,41.0,0,179.86466646194458,1851.0,1.0,1.0
1132,False,"Take the clock, vase, and candle from the table in the dining room and put them on the shelves in the tv room, placing them next to each other? The clock is a black vintage one with a round face and a small ring on top, the vase is colorful with a geometric mosaic pattern, and the candle is white on a black, geometric holder. The clock was a gift from my grandmother.",41.0,0,243.59855031967163,2652.0,0.4,0.0
1033,False,"Move the candle holder, candle, and plant container from the dining table to the living room couch. Place them next to each other on the couch. In the evening, I like having these items together on the couch for a cozy atmosphere.",41.0,0,136.0001482963562,1236.0,0.4,0.0
1010,False,"Help me set up some visuals on the shelves. Move the picture frame and lamp there. The book can stay where it is. The lamp has a pineapple-shaped neon outline with a black base, and the picture frame is gold with a dark central image. The picture frame holds a special photo of my family reunion.",19.0,0,432.71188163757324,8320.0,0.0,0.0
1225,False,"Move the vase, then the lamp, and finally the plate to the table in the living room. Then, move them to the couch in the living room and place them next to each other. I prefer to keep the vase, lamp, and plate together on the couch in the living room after rearranging them from the table.",26.0,0,152.27725887298584,2035.0,0.625,0.0
1130,False,"Move the picture frame and vase from the dining room table to the TV shelves. Place them next to each other on the shelves. The picture frame is wooden with a black and white dove image, and the vase is brown and beige with a pebble-like pattern. The picture frame holds a special photo of my family's pet dove.",21.0,0,171.24990224838257,2296.0,1.0,1.0
1042,False,Move the stuffed toys and put them in the chest of drawers in the bedroom. I prefer to keep my stuffed toys in the bedroom chest of drawers for easy access and organization.,41.0,0,229.86861419677734,1246.0,0.0,0.0
987,False,Move the lamp to the bedroom table. Move the statue to the living room shelves. I prefer to have the lamp on the bedroom table for reading and the statue on the living room shelves for display.,41.0,0,407.29934525489807,7202.0,0.0,0.0
1128,False,"Move the tray to the cabinet in the toilet room and put the can on the counter in the lounge. The tray is white with cutout handles, and the can is a silver can of Polar Herring Fillets, Smoked & Peppered, 7.05 oz. The tray is a gift from my grandmother.",21.0,0,164.75401043891907,2090.0,0.5,0.0
1212,False,"Move the laptop and laptop stand from the living room table to the bedroom chair. Also, bring a book from the bedroom chair to the living room table. I usually move my laptop and stand to the bedroom chair when I'm ready for work and keep a book on the living room table for quick access during breaks.",41.0,0,282.65586400032043,4253.0,1.0,1.0
1038,False,Move the jug and cup from the kitchen to the bedroom. Place them next to each other on the chest of drawers. I like having the jug and cup together on the chest of drawers in the bedroom for a convenient night drink.,19.0,0,125.61573839187622,2009.0,1.0,1.0
1024,False,"Move the dumbbell and shoe to the shelves in the living room and place them next to each other. The dumbbell is black and hexagonal with a metal handle, and the shoe is a black and pink running shoe, PureConnect 2. The shoe is part of my favorite running gear.",33.0,0,340.04943680763245,5817.0,0.3333333333333333,0.0
1137,False,"First, move the candle from the table to the chair in the tv room. Then, place it on the tv table. The candle is mint green with white butterfly designs. This candle is my favorite.",6.0,0,84.54256439208984,1381.0,0.0,0.0
1003,False,Move the book and pencil case from the living room table to the chest of drawers in the bedroom. Place them next to each other. I like to keep my book and pencil case together on the chest of drawers in the bedroom for late-night study sessions.,17.0,0,145.75993824005127,2325.0,1.0,1.0
1034,False,Put away the one jug and one cup in the kitchen cabinet. I prefer to keep the jug and cup in the kitchen cabinet for easy access during breakfast.,15.0,0,72.57661318778992,1079.0,0.0,0.0
1217,False,"Place the vase on the shelves, the candle on the table. I prefer to have the vase on the shelves and the candle on the table to create a cozy atmosphere in the room.",14.0,0,111.8369243144989,1682.0,1.0,1.0
1040,False,Move the stuffed toy from the couch to the chair in the living room. Place it next to the table. I like to keep the stuffed toy next to the table on the chair for decoration and easy access during my reading time.,11.0,0,74.68021702766418,1270.0,0.0,0.0
999,False,"Move the lamp and then the vase from the table in the living room to the shelves, placing them next to each other. I prefer to keep the lamp and vase together on the shelves for a balanced look and easy access.",13.0,0,117.13598608970642,2080.0,1.0,1.0
